SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.076972671,50,0,0.23446487,8866.0,14,0,2,0,1.0
0,0.455796457,39,0,1496.0,,8,0,0,0,
0,0.051598526,51,0,0.365970095,11101.0,9,0,2,0,0.0
0,0.919452151,71,1,4942.0,,30,1,1,0,0.0
0,0.020117748,47,0,0.303132938,1180.0,9,0,0,0,2.0
0,0.016178586,39,0,0.453692681,21000.0,17,0,2,0,2.0
0,0.118171664,53,1,0.525975299,5100.0,12,0,1,0,2.0
0,0.9999999,59,0,500.0,,1,0,0,0,0.0
0,0.03723654,69,0,0.005999077,6500.0,7,0,0,0,0.0
0,0.003928478,63,0,0.000499376,8009.0,2,0,0,0,0.0
0,0.280168565,70,0,0.254248584,3000.0,2,0,1,0,1.0
0,0.492101782,39,2,0.548009809,5300.0,6,0,1,0,2.0
0,0.0,46,1,1978.0,,3,0,2,0,0.0
0,0.548162094,49,0,2.746169221,1500.0,6,0,2,0,0.0
0,0.707129901,33,1,0.503812023,8000.0,12,0,2,0,1.0
0,0.04385176,48,0,0.31755153,8004.0,6,0,1,0,2.0
0,0.0,53,0,1311.0,,4,0,1,0,4.0
0,0.125109361,40,0,0.322197055,5297.0,7,0,1,0,2.0
0,0.016131183,67,0,3.0,,2,0,0,0,0.0
0,0.047987381,50,1,0.34495688,8000.0,11,0,2,0,1.0
0,0.14403479,57,0,0.213446638,4000.0,6,0,1,0,0.0
0,0.001944507,62,0,0.000191791,5213.0,6,0,0,0,0.0
0,1629.0,39,1,3880.0,,9,0,3,0,1.0
0,0.9999999,46,0,0.029411765,1223.0,2,0,0,0,1.0
0,0.056998035,74,0,1936.0,,7,0,2,0,
0,0.3979607,63,0,3702.0,,12,0,2,0,0.0
0,0.9999999,47,1,0.290709996,2830.0,5,0,0,0,0.0
0,0.227355695,58,0,0.449677849,4500.0,10,0,2,0,2.0
0,0.050217756,74,0,0.238273142,4817.0,5,0,2,0,0.0
0,0.113848712,74,0,0.306013238,7100.0,8,0,1,0,1.0
0,0.19444859,48,0,2481.0,,8,0,2,0,0.0
0,0.007190203,38,0,0.435557488,4600.0,7,0,1,0,2.0
0,0.086235823,29,0,0.039981826,2200.0,5,0,0,0,0.0
1,0.964603399,51,1,586.0,,10,0,0,0,
0,0.020747759,79,0,0.018883415,2435.0,14,0,0,0,0.0
0,0.057472655,60,0,0.225834977,14700.0,9,0,2,0,0.0
0,0.248976955,48,0,0.385889746,3500.0,13,0,1,0,0.0
0,0.2331637,62,0,0.188684011,7917.0,10,0,1,0,0.0
0,0.0,52,0,3580.0,,11,0,2,0,0.0
0,0.110696941,74,0,0.313345091,1700.0,6,0,0,0,0.0
0,1.125937031,42,1,0.107262976,11000.0,4,1,0,1,2.0
0,0.091311998,60,1,0.106532737,13638.0,14,0,1,0,0.0
0,0.9999999,44,0,0.062013648,8352.0,1,0,0,0,3.0
0,0.075450135,69,0,0.420635934,7830.0,18,0,2,0,0.0
0,0.05492322,64,0,0.221422256,7916.0,7,0,2,0,1.0
0,0.833423375,31,0,2.969875092,1360.0,15,0,2,0,0.0
0,0.320899827,81,0,50.0,,3,0,0,0,0.0
0,0.044037855,74,0,0.001993797,4513.0,4,0,0,0,0.0
0,0.08828067,72,0,0.018976898,2423.0,4,0,0,0,0.0
0,0.476930136,44,0,0.366819508,9595.0,17,0,4,0,0.0
0,0.076349288,45,0,3431.0,,9,0,2,0,0.0
0,0.048924443,76,0,0.002461349,13000.0,3,0,0,0,2.0
0,0.332740123,58,0,0.623821765,2333.0,4,0,1,0,2.0
0,0.003039878,70,0,80.0,,6,0,0,0,
0,0.9999999,43,0,0.191003213,2800.0,3,0,0,0,2.0
0,0.377129671,70,0,0.549207256,7000.0,10,0,2,0,0.0
0,0.588547406,62,0,2992.0,,7,0,3,0,0.0
0,0.109827955,58,0,2695.0,,11,0,2,0,
0,0.005292822,52,0,0.531129726,8833.0,12,0,2,0,1.0
0,0.896777171,54,1,0.235254915,3000.0,5,0,0,1,0.0
0,0.196758683,74,0,2835.0,,8,0,3,0,0.0
0,0.22630232,65,2,0.232137013,9166.0,18,0,1,0,0.0
0,0.012922746,51,0,0.296468762,5153.0,7,0,1,0,0.0
0,0.0,40,0,0.449571133,3380.0,2,0,1,0,0.0
0,0.010265982,63,0,0.299915038,2353.0,2,0,1,0,0.0
0,0.038592282,56,0,0.233554617,3313.0,6,0,0,0,1.0
0,0.7712425,46,0,4599.0,,9,0,2,0,1.0
0,0.032924722,65,0,1.034372502,1250.0,21,0,1,0,0.0
0,0.125874126,23,0,0.000760264,3945.0,1,0,0,0,0.0
0,0.29928467,37,0,116.0,,3,0,0,0,0.0
0,0.9999999,47,0,0.022695035,7049.0,1,0,0,0,0.0
0,0.318143941,62,0,3058.0,,12,0,4,0,0.0
0,0.018370418,61,0,51.0,,6,0,0,0,0.0
0,0.467680608,26,0,0.045088373,8316.0,4,0,0,0,1.0
0,0.039537448,56,0,0.102868013,6833.0,8,0,1,0,1.0
0,0.023984928,64,1,0.159742696,3730.0,13,0,0,0,1.0
0,0.047177954,69,0,0.177763343,9236.0,16,0,1,0,0.0
0,0.9999999,52,0,0.0,,0,0,0,0,0.0
0,0.114859009,31,0,0.578855286,4000.0,7,0,1,0,0.0
0,0.854004867,38,0,0.189668232,6600.0,4,0,0,0,0.0
0,0.453791813,51,0,0.599668325,6029.0,4,0,2,0,3.0
0,0.0,72,0,0.0,,3,0,0,0,0.0
0,0.0,36,0,0.756659142,2214.0,7,0,1,0,0.0
0,0.733145708,50,1,0.319493207,6550.0,11,0,1,0,0.0
0,0.042064195,51,0,0.5,2173.0,6,0,1,0,3.0
0,0.211102968,53,1,0.275092937,7800.0,7,0,1,0,0.0
0,0.959685593,50,1,0.244180597,6400.0,8,0,0,0,1.0
0,0.03737868,76,1,0.372787227,2880.0,8,0,1,0,0.0
0,0.273031869,78,0,1659.0,,7,0,1,0,0.0
0,0.016868832,93,0,0.009151414,1201.0,3,0,0,0,0.0
0,0.397824717,42,0,480.0,,9,0,0,0,2.0
0,0.957980438,45,0,809.0,,6,0,0,0,0.0
0,0.102331327,59,0,0.131292931,11500.0,7,0,1,0,3.0
0,0.327111168,62,0,0.551778317,7000.0,22,0,1,0,0.0
0,0.08861387,62,0,0.12571857,4000.0,11,0,0,0,0.0
0,0.79060698,50,0,0.251429853,8916.0,11,0,1,0,0.0
0,0.351062326,62,0,0.285559036,15642.0,9,0,3,0,1.0
0,0.126645559,32,0,0.1317485,4500.0,6,0,0,0,0.0
0,0.003363483,32,0,0.122417241,4500.0,13,0,0,0,0.0
0,0.003503722,41,0,0.752099832,4166.0,10,0,2,0,2.0
0,0.376764119,56,1,0.379628183,6400.0,9,0,1,0,2.0
1,0.9999999,29,0,0.0,,0,0,0,1,0.0
0,0.378874413,69,0,0.423744397,8700.0,16,0,2,0,0.0
0,0.0,48,0,0.259968102,3761.0,4,0,0,0,1.0
0,0.011342155,61,0,0.29847868,4666.0,7,0,1,0,3.0
0,0.208643484,45,0,1941.0,,4,0,1,0,0.0
0,0.0,68,0,502.0,,3,0,0,0,0.0
0,0.456343743,32,0,0.286613072,2860.0,7,0,1,0,0.0
0,0.000895478,87,0,0.0,,7,0,0,0,0.0
0,0.772569607,69,0,0.575106223,4000.0,18,0,1,0,0.0
0,0.006764573,82,0,0.368712947,5228.0,20,0,1,0,1.0
0,0.111897905,72,0,0.224577542,10000.0,15,0,1,0,0.0
0,0.538413492,47,0,25.0,,14,0,0,0,
0,0.122043055,33,0,0.87906047,2000.0,8,0,1,0,3.0
0,0.025772051,26,0,898.0,0.0,4,0,0,0,0.0
0,0.090144422,64,0,0.246376812,2000.0,5,0,0,0,0.0
0,0.85537021,45,1,0.414015304,4965.0,7,0,0,0,0.0
0,0.065989002,30,1,444.0,,3,0,0,0,
0,1.219195201,31,1,0.204718113,2500.0,3,0,0,0,2.0
0,0.068881328,57,0,2354.0,,5,0,1,0,0.0
0,0.465702287,48,0,0.214045753,6250.0,8,0,2,0,0.0
0,0.30481664,57,0,0.34441162,4061.0,6,0,1,0,3.0
0,0.0,89,0,0.0,1600.0,3,0,0,0,0.0
0,0.989247312,59,0,0.033057851,1451.0,2,0,0,0,0.0
0,0.096864269,52,0,0.323558814,3000.0,6,0,1,0,1.0
0,0.501056132,56,1,0.554584506,6750.0,14,0,2,0,0.0
1,0.928997937,49,4,0.406358238,8083.0,9,1,2,0,0.0
0,0.10299485,45,0,61.0,,3,0,0,0,0.0
0,0.0,44,0,0.040225829,1416.0,2,0,0,0,2.0
0,0.102500998,65,0,2596.0,,19,0,2,0,0.0
1,0.9999999,54,0,3035.0,,4,4,2,0,0.0
0,0.9999999,79,0,0.204855491,4324.0,1,0,0,0,0.0
0,0.00939812,37,1,0.992503748,2000.0,5,0,2,0,2.0
0,0.283431394,45,0,0.250593676,8000.0,11,0,2,0,2.0
0,0.464621972,42,0,0.485967602,15000.0,23,0,1,0,0.0
0,0.9999999,32,0,425.0,,4,0,0,0,0.0
0,0.237854018,48,1,0.118098826,6900.0,12,0,0,0,0.0
0,0.01361178,69,0,1.125574273,3917.0,15,0,2,0,0.0
0,0.324558323,44,0,5197.0,,14,0,4,0,1.0
0,0.005463281,77,0,0.00456621,1094.0,3,0,0,0,0.0
0,0.842334945,67,0,1.284761236,2847.0,15,0,0,0,1.0
0,0.032787289,60,0,0.302045553,6892.0,11,0,1,0,0.0
0,0.243039532,23,0,0.26987149,2100.0,5,0,0,0,0.0
0,0.0,40,0,0.226477249,4856.0,3,0,0,0,2.0
0,0.045067285,57,0,0.279553029,5100.0,16,0,1,0,1.0
0,0.168230084,62,0,0.242451067,10166.0,2,0,1,0,0.0
0,0.10600167,47,0,0.411692845,5729.0,7,0,2,0,2.0
0,0.85440416,31,0,0.171443807,7500.0,5,0,0,0,0.0
0,0.441970663,60,0,380.0,,5,0,0,0,0.0
0,0.018190308,66,0,0.454678007,8229.0,7,0,2,0,1.0
1,0.381199688,71,0,1.09947839,2683.0,7,0,1,1,0.0
0,0.031387436,29,0,63.0,1.0,4,0,0,0,0.0
0,0.9999999,39,0,0.424548736,4154.0,3,0,1,0,0.0
0,0.048676399,53,0,3240.0,,19,0,3,0,0.0
1,0.838760608,51,0,1834.0,,5,0,2,0,
0,0.317421709,36,0,0.350788002,5900.0,8,0,1,0,2.0
0,0.371257485,53,1,5.0,,1,4,0,0,0.0
0,0.882419116,54,0,0.30988092,11000.0,25,3,0,0,2.0
1,0.637362637,25,1,0.0223398,1700.0,2,0,0,0,0.0
0,0.239036508,50,0,0.613541411,8137.0,14,0,2,0,1.0
0,0.535170197,46,0,0.871130031,2583.0,9,0,1,0,2.0
0,0.048324332,50,0,0.230688036,36000.0,12,0,2,0,3.0
0,0.060066817,84,0,2480.0,,4,0,1,0,0.0
1,0.9999999,50,0,489.0,,1,0,0,0,0.0
0,0.377333522,62,0,0.178832242,29166.0,6,0,2,0,0.0
0,0.432357423,52,0,878.0,,21,0,0,0,0.0
0,0.025424869,55,2,0.521949078,6833.0,11,0,4,0,0.0
0,0.00046752,64,0,0.0,4514.0,2,0,0,0,0.0
0,0.666523526,48,3,0.588465116,5374.0,10,0,2,1,3.0
0,0.135843208,71,0,82.0,,4,0,0,0,0.0
1,0.384795705,67,1,3834.0,,19,0,1,0,0.0
0,0.423359664,80,0,0.285471377,5292.0,8,0,0,0,0.0
0,0.020485129,56,0,0.032983508,2000.0,12,0,0,0,0.0
0,0.006389776,53,0,0.000587889,1700.0,5,0,0,0,0.0
0,0.306236433,57,0,0.205453306,7334.0,4,0,1,0,2.0
0,0.208635324,55,0,0.345681036,6100.0,8,0,2,0,4.0
0,0.232450501,41,0,0.645379777,6200.0,5,0,2,0,0.0
0,0.092655197,61,0,0.693792581,5283.0,14,0,2,0,1.0
0,0.95910409,58,0,0.24572345,5611.0,10,0,0,0,0.0
0,0.569250318,54,0,0.513017018,17745.0,17,0,4,0,0.0
